,,,,,,,
,,,,,,,
,Scent:,Minoru,,,,,
,Perfumer:,Rachel,,,,,100 drops is about 5 grams
,,,,,,,
,Family,Ingredient,Drops so far,Total drops to add up to 105,Add this many drops to your original formulation to reach 105 drops total,For 20 15 ML bottles,
,C,Bergamot oil,3,6.0,3.0,120,6g
,C,Dihydro Myrcenol,3,6.0,3.0,120,6g
,S,Pink pepper oil 10% in dpg,4,10.0,6.0,140,8g
,K,Juniper berry oil 10% dpg,8,12.0,4.0,300,15g
,K,Fir oil,2,4.0,2.0,80,5g
,K,alpha terpineol,3,6.0,3.0,120,6g
,N,ylang ylang oil,3,3.0,0.0,120,6g
,W,cedarwood oil virginia,6,11.0,5.0,220,12g
,Q,MYRRH OIL,4,7.0,3.0,140,7g
,J,Hedione,7,9.0,2.0,180,10g
,U,Fixative 505 10% dpg,2,4.0,2.0,80,5g
,X,galaxolide 50% dpg,6,8.0,2.0,160,10g
,s,eugenol,4,4.0,0.0,80,5g
,s,cardamon oil 10% dpg,2,4.0,2.0,80,5g
,N,methyll anthranilate,2,1.0,-1.0,20,1g
,V,coumarin 10% in dpg,4,7.0,3.0,180,4g
,,TOTAL:,63,102.0,39.0,,
,,,,,,,
,,,,,,,
,,,TARGET:,105,,,
,,,RATIO,1.666666667,,,
